segundo,angry,disgust,fear,happy,sad,surprise,neutral,emocion_facial,texto,emocion_texto,emocion_facial_raw,congruencia,cambio_emocion
0,0.5153773427009583,0.00016651755140628666,1.01755952835083,28.78611946105957,0.10329815000295639,7.825549602508545,61.751930236816406,neutral,"Hello, I would like to take a moment to reflect on how I'm feeling today.",sadness,neutral,INCONGRUENCIA,True
1,0.5153773427009583,0.00016651755140628666,1.01755952835083,28.78611946105957,0.10329815000295639,7.825549602508545,61.751930236816406,neutral,"Hello, I would like to take a moment to reflect on how I'm feeling today.",sadness,neutral,INCONGRUENCIA,False
2,0.5153773427009583,0.00016651755140628666,1.01755952835083,28.78611946105957,0.10329815000295639,7.825549602508545,61.751930236816406,neutral,"Hello, I would like to take a moment to reflect on how I'm feeling today.",sadness,neutral,INCONGRUENCIA,False
3,0.5153773427009583,0.00016651755140628666,1.01755952835083,28.78611946105957,0.10329815000295639,7.825549602508545,61.751930236816406,neutral,"Hello, I would like to take a moment to reflect on how I'm feeling today.",sadness,neutral,INCONGRUENCIA,False
4,0.5153773427009583,0.00016651755140628666,1.01755952835083,28.78611946105957,0.10329815000295639,7.825549602508545,61.751930236816406,neutral,"Hello, I would like to take a moment to reflect on how I'm feeling today.",sadness,neutral,INCONGRUENCIA,False
5,0.20457512140274048,0.3076671063899994,25.644981384277344,17.454940795898438,1.1186985969543457,2.195207357406616,53.07393264770508,neutral,"Hello, I would like to take a moment to reflect on how I'm feeling today.",sadness,neutral,INCONGRUENCIA,False
6,0.20457512140274048,0.3076671063899994,25.644981384277344,17.454940795898438,1.1186985969543457,2.195207357406616,53.07393264770508,neutral,"As I speak, I'm carefully choosing my words and organizing my doubts.",fear,neutral,INCONGRUENCIA,False
7,0.20457512140274048,0.3076671063899994,25.644981384277344,17.454940795898438,1.1186985969543457,2.195207357406616,53.07393264770508,neutral,"As I speak, I'm carefully choosing my words and organizing my doubts.",fear,neutral,INCONGRUENCIA,False
8,0.20457512140274048,0.3076671063899994,25.644981384277344,17.454940795898438,1.1186985969543457,2.195207357406616,53.07393264770508,neutral,"As I speak, I'm carefully choosing my words and organizing my doubts.",fear,neutral,INCONGRUENCIA,False
9,0.20457512140274048,0.3076671063899994,25.644981384277344,17.454940795898438,1.1186985969543457,2.195207357406616,53.07393264770508,neutral,"As I speak, I'm carefully choosing my words and organizing my doubts.",fear,neutral,INCONGRUENCIA,False
10,0.20457512140274048,0.3076671063899994,25.644981384277344,17.454940795898438,1.1186985969543457,2.195207357406616,53.07393264770508,neutral,"As I speak, I'm carefully choosing my words and organizing my doubts.",fear,neutral,INCONGRUENCIA,False
11,0.20457512140274048,0.3076671063899994,25.644981384277344,17.454940795898438,1.1186985969543457,2.195207357406616,53.07393264770508,neutral,"Earlier, I feel over him by responsibilities and expectations.",sadness,neutral,INCONGRUENCIA,False
12,0.11074826121330261,3.3278084288212995e-08,0.0032068740110844374,3.7262048721313477,0.15006642043590546,0.011265493929386139,95.99850463867188,neutral,"Earlier, I feel over him by responsibilities and expectations.",sadness,neutral,INCONGRUENCIA,False
13,0.11074826121330261,3.3278084288212995e-08,0.0032068740110844374,3.7262048721313477,0.15006642043590546,0.011265493929386139,95.99850463867188,neutral,"Earlier, I feel over him by responsibilities and expectations.",sadness,neutral,INCONGRUENCIA,False
