segundo,angry,disgust,fear,happy,sad,surprise,neutral,emocion_facial,texto,emocion_texto,emocion_facial_raw,congruencia,cambio_emocion
0,10.131386756896973,0.0024713012389838696,75.85600280761719,0.1988283097743988,13.583691596984863,0.02396676503121853,0.2036554217338562,neutral,"Hello, I am standing here to talk about my day.",neutral,fear,Congruente,True
1,0.22597384452819824,0.004852703772485256,0.9102700352668762,0.2072923183441162,0.004157302435487509,98.57546997070312,0.07198100537061691,neutral,"Hello, I am standing here to talk about my day.",neutral,surprise,Congruente,False
2,0.22597384452819824,0.004852703772485256,0.9102700352668762,0.2072923183441162,0.004157302435487509,98.57546997070312,0.07198100537061691,neutral,"Hello, I am standing here to talk about my day.",neutral,surprise,Congruente,False
3,0.22597384452819824,0.004852703772485256,0.9102700352668762,0.2072923183441162,0.004157302435487509,98.57546997070312,0.07198100537061691,neutral,"Hello, I am standing here to talk about my day.",neutral,surprise,Congruente,False
4,0.22597384452819824,0.004852703772485256,0.9102700352668762,0.2072923183441162,0.004157302435487509,98.57546997070312,0.07198100537061691,neutral,"Hello, I am standing here to talk about my day.",neutral,surprise,Congruente,False
5,0.1169104352593422,0.04267293959856033,5.562536716461182,0.3139016628265381,0.04815778508782387,93.26567840576172,0.6501437425613403,neutral,This morning I feel happy when I saw the sun.,joy,surprise,INCONGRUENCIA,False
6,0.1169104352593422,0.04267293959856033,5.562536716461182,0.3139016628265381,0.04815778508782387,93.26567840576172,0.6501437425613403,neutral,This morning I feel happy when I saw the sun.,joy,surprise,INCONGRUENCIA,False
7,0.1169104352593422,0.04267293959856033,5.562536716461182,0.3139016628265381,0.04815778508782387,93.26567840576172,0.6501437425613403,neutral,This morning I feel happy when I saw the sun.,joy,surprise,INCONGRUENCIA,False
8,0.24782145023345947,0.16503550112247467,8.06810188293457,19.037006378173828,0.3674904406070709,8.5211181640625,63.59342956542969,neutral,At school I had a lot of work and I feel stressed.,anger,neutral,INCONGRUENCIA,False
9,0.24782145023345947,0.16503550112247467,8.06810188293457,19.037006378173828,0.3674904406070709,8.5211181640625,63.59342956542969,neutral,At school I had a lot of work and I feel stressed.,anger,neutral,INCONGRUENCIA,False
10,0.47052237391471863,8.38495179777965e-06,0.14138390123844147,0.398522287607193,0.030251789838075638,87.81001281738281,11.14930248260498,neutral,At school I had a lot of work and I feel stressed.,anger,surprise,INCONGRUENCIA,False
11,0.47052237391471863,8.38495179777965e-06,0.14138390123844147,0.398522287607193,0.030251789838075638,87.81001281738281,11.14930248260498,neutral,At school I had a lot of work and I feel stressed.,anger,surprise,INCONGRUENCIA,False
12,0.47052237391471863,8.38495179777965e-06,0.14138390123844147,0.398522287607193,0.030251789838075638,87.81001281738281,11.14930248260498,neutral,Then something unexpected happened and I was surprised.,surprise,surprise,INCONGRUENCIA,False
13,0.47052237391471863,8.38495179777965e-06,0.14138390123844147,0.398522287607193,0.030251789838075638,87.81001281738281,11.14930248260498,neutral,Then something unexpected happened and I was surprised.,surprise,surprise,INCONGRUENCIA,False
14,0.47052237391471863,8.38495179777965e-06,0.14138390123844147,0.398522287607193,0.030251789838075638,87.81001281738281,11.14930248260498,neutral,Then something unexpected happened and I was surprised.,surprise,surprise,INCONGRUENCIA,False
15,0.47052237391471863,8.38495179777965e-06,0.14138390123844147,0.398522287607193,0.030251789838075638,87.81001281738281,11.14930248260498,neutral,Then something unexpected happened and I was surprised.,surprise,surprise,INCONGRUENCIA,False
